record_id,entity_name,risk_std,risk_point,risk_p50,risk_p10,risk_p90,impact_width,risk_tier,confidence_tier,primary_driver,matched_sources,S1_impact,S2_impact,S3_impact,S4_impact,S5_impact,S6_impact,S7_impact,S8_impact
REC_00013,Entity_00013,0.0609,0.2238,0.2166,0.1544,0.3134,0.159,Low,Low,S6,"S6, S8",0.0,0.0,0.0,0.0,0.0,0.19404,0.0,0.00784
REC_00014,Entity_00014,0.0318,0.4843,0.4862,0.4469,0.5285,0.0816,Moderate,Moderate,S7,"S3, S5, S7",0.0,0.0,0.070325,0.0,0.044845,0.0,0.277693,0.0
REC_00015,Entity_00015,0.0348,0.1376,0.1355,0.094,0.1826,0.0887,Minimal,Moderate,S3,S3,0.0,0.0,0.1176,0.0,0.0,0.0,0.0,0.0
REC_00016,Entity_00016,0.014,0.02,0.0172,0.006,0.0369,0.031,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00017,Entity_00017,0.0236,0.1074,0.1076,0.0806,0.141,0.0603,Minimal,Moderate,S5,"S5, S8",0.0,0.0,0.0,0.0,0.077616,0.0,0.0,0.009016
REC_00018,Entity_00018,0.0991,0.5816,0.579,0.4456,0.7037,0.2581,Moderate,Low,S4,"S1, S4, S6, S8",0.008538,0.0,0.0,0.342287,0.0,0.104588,0.0,0.004226
REC_00019,Entity_00019,0.109,0.5041,0.4937,0.3575,0.641,0.2835,Moderate,Low,S4,"S4, S5",0.0,0.0,0.0,0.40572,0.04312,0.0,0.0,0.0
REC_00020,Entity_00020,0.0935,0.6033,0.5982,0.4764,0.7196,0.2432,Moderate,Low,S4,"S4, S5, S6",0.0,0.0,0.0,0.324576,0.034496,0.099176,0.0,0.0
REC_00021,Entity_00021,0.0287,0.363,0.3634,0.3271,0.3956,0.0685,Low,Moderate,S7,S7,0.0,0.0,0.0,0.0,0.0,0.0,0.343,0.0
REC_00022,Entity_00022,0.0328,0.069,0.0676,0.0363,0.116,0.0797,Minimal,Moderate,S2,S2,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.0
REC_00023,Entity_00023,0.0147,0.0396,0.0376,0.0236,0.0589,0.0353,Minimal,High,S1,S1,0.0196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00024,Entity_00024,0.0328,0.069,0.0676,0.0363,0.116,0.0797,Minimal,Moderate,S2,S2,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.0
REC_00025,Entity_00025,0.014,0.02,0.0172,0.006,0.0369,0.031,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00026,Entity_00026,0.0419,0.1889,0.1891,0.1389,0.2454,0.1065,Low,Moderate,S3,"S2, S3, S8",0.0,0.042689,0.110603,0.0,0.0,0.0,0.0,0.008193
REC_00027,Entity_00027,0.1012,0.5731,0.5695,0.4353,0.6977,0.2624,Moderate,Low,S4,"S4, S6, S8",0.0,0.0,0.0,0.349272,0.0,0.106722,0.0,0.004312
REC_00028,Entity_00028,0.0353,0.1435,0.1446,0.1064,0.1945,0.0881,Minimal,Moderate,S5,"S2, S5",0.0,0.04508,0.0,0.0,0.07448,0.0,0.0,0.0
REC_00029,Entity_00029,0.014,0.02,0.0172,0.006,0.0369,0.031,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00030,Entity_00030,0.0147,0.0396,0.0376,0.0236,0.0589,0.0353,Minimal,High,S1,S1,0.0196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00031,Entity_00031,0.0717,0.6777,0.6691,0.579,0.768,0.189,Moderate,Low,S4,"S4, S5, S7",0.0,0.0,0.0,0.263718,0.028028,0.0,0.173558,0.0
REC_00032,Entity_00032,0.0346,0.1462,0.1435,0.1027,0.1929,0.0902,Minimal,Moderate,S3,"S3, S8",0.0,0.0,0.116424,0.0,0.0,0.0,0.0,0.008624
REC_00033,Entity_00033,0.0328,0.4009,0.403,0.3609,0.4435,0.0826,Moderate,Moderate,S7,"S2, S7, S8",0.0,0.031532,0.0,0.0,0.0,0.0,0.322592,0.006051
REC_00034,Entity_00034,0.0898,0.6269,0.6251,0.5055,0.7406,0.2352,Moderate,Low,S4,"S2, S4, S5, S6, S8",0.0,0.019637,0.0,0.305264,0.032443,0.093275,0.0,0.003769
REC_00035,Entity_00035,0.0332,0.3949,0.3968,0.3552,0.4392,0.084,Low,Moderate,S7,"S2, S7",0.0,0.03185,0.0,0.0,0.0,0.0,0.32585,0.0
REC_00036,Entity_00036,0.0236,0.0984,0.0982,0.072,0.131,0.0589,Minimal,Moderate,S5,S5,0.0,0.0,0.0,0.0,0.0784,0.0,0.0,0.0
REC_00037,Entity_00037,0.0801,0.6684,0.6692,0.5584,0.772,0.2135,Moderate,Low,S4,"S2, S3, S4, S5, S6",0.0,0.017455,0.045224,0.271346,0.028839,0.082911,0.0,0.0
REC_00038,Entity_00038,0.0287,0.363,0.3634,0.3271,0.3956,0.0685,Low,Moderate,S7,S7,0.0,0.0,0.0,0.0,0.0,0.0,0.343,0.0
REC_00039,Entity_00039,0.0287,0.363,0.3634,0.3271,0.3956,0.0685,Low,Moderate,S7,S7,0.0,0.0,0.0,0.0,0.0,0.0,0.343,0.0
REC_00040,Entity_00040,0.014,0.02,0.0172,0.006,0.0369,0.031,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00041,Entity_00041,0.0777,0.6532,0.6457,0.5437,0.748,0.2043,Moderate,Low,S4,"S4, S7, S8",0.0,0.0,0.0,0.283783,0.0,0.0,0.186763,0.003503
REC_00042,Entity_00042,0.014,0.02,0.0172,0.006,0.0369,0.031,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00043,Entity_00043,0.0606,0.2317,0.224,0.1636,0.3188,0.1552,Low,Low,S6,"S1, S6",0.01568,0.0,0.0,0.0,0.0,0.19208,0.0,0.0
REC_00044,Entity_00044,0.0141,0.0298,0.0275,0.0153,0.0475,0.0322,Minimal,High,S8,S8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098
REC_00045,Entity_00045,0.0353,0.1435,0.1446,0.1064,0.1945,0.0881,Minimal,Moderate,S5,"S2, S5",0.0,0.04508,0.0,0.0,0.07448,0.0,0.0,0.0
REC_00046,Entity_00046,0.0236,0.1164,0.1164,0.0911,0.1474,0.0562,Minimal,Moderate,S5,"S1, S5",0.018032,0.0,0.0,0.0,0.076832,0.0,0.0,0.0
REC_00047,Entity_00047,0.0324,0.4544,0.4564,0.4181,0.4971,0.079,Moderate,Moderate,S7,"S1, S2, S5, S7",0.011135,0.028716,0.0,0.0,0.047444,0.0,0.293786,0.0
REC_00048,Entity_00048,0.0418,0.1971,0.1991,0.1483,0.2519,0.1036,Low,Moderate,S3,"S1, S2, S3",0.016386,0.042258,0.109486,0.0,0.0,0.0,0.0,0.0
REC_00049,Entity_00049,0.1163,0.488,0.4768,0.3332,0.6373,0.3041,Moderate,Low,S4,"S2, S4",0.0,0.02695,0.0,0.41895,0.0,0.0,0.0,0.0
REC_00050,Entity_00050,0.1061,0.5289,0.5218,0.3883,0.663,0.2747,Moderate,Low,S4,"S2, S4, S5",0.0,0.024794,0.0,0.385434,0.040964,0.0,0.0,0.0
REC_00051,Entity_00051,0.014,0.02,0.0172,0.006,0.0369,0.031,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00052,Entity_00052,0.0581,0.2787,0.2749,0.2143,0.3626,0.1482,Low,Moderate,S6,"S5, S6",0.0,0.0,0.0,0.0,0.06272,0.18032,0.0,0.0
REC_00053,Entity_00053,0.0358,0.2066,0.2061,0.1634,0.2551,0.0917,Low,Moderate,S3,"S3, S5",0.0,0.0,0.108192,0.0,0.068992,0.0,0.0,0.0
REC_00054,Entity_00054,0.014,0.02,0.0172,0.006,0.0369,0.031,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00055,Entity_00055,0.0346,0.4728,0.4729,0.4335,0.5217,0.0881,Moderate,Moderate,S7,"S2, S3, S7, S8",0.0,0.027748,0.071892,0.0,0.0,0.0,0.283881,0.005325
REC_00056,Entity_00056,0.0747,0.6738,0.6666,0.5684,0.7671,0.1987,Moderate,Low,S4,"S1, S2, S4, S7",0.006657,0.017167,0.0,0.266871,0.0,0.0,0.175633,0.0
REC_00057,Entity_00057,0.1195,0.461,0.4502,0.299,0.6124,0.3134,Moderate,Low,S4,S4,0.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0
REC_00058,Entity_00058,0.0236,0.1074,0.1076,0.0806,0.141,0.0603,Minimal,Moderate,S5,"S5, S8",0.0,0.0,0.0,0.0,0.077616,0.0,0.0,0.009016
REC_00059,Entity_00059,0.0576,0.7657,0.7654,0.6868,0.8364,0.1495,High,Moderate,S4,"S2, S3, S4, S6, S7",0.0,0.012332,0.031952,0.191712,0.0,0.058579,0.126169,0.0
REC_00060,Entity_00060,0.0141,0.0298,0.0275,0.0153,0.0475,0.0322,Minimal,High,S8,S8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098
REC_00061,Entity_00061,0.0236,0.1164,0.1164,0.0911,0.1474,0.0562,Minimal,Moderate,S5,"S1, S5",0.018032,0.0,0.0,0.0,0.076832,0.0,0.0,0.0
REC_00062,Entity_00062,0.0141,0.0298,0.0275,0.0153,0.0475,0.0322,Minimal,High,S8,S8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098
REC_00063,Entity_00063,0.0423,0.1807,0.1812,0.131,0.237,0.1059,Low,Moderate,S3,"S2, S3",0.0,0.04312,0.11172,0.0,0.0,0.0,0.0,0.0
REC_00064,Entity_00064,0.0141,0.0298,0.0275,0.0153,0.0475,0.0322,Minimal,High,S8,S8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098
REC_00065,Entity_00065,0.0141,0.0298,0.0275,0.0153,0.0475,0.0322,Minimal,High,S8,S8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098
REC_00066,Entity_00066,0.014,0.02,0.0172,0.006,0.0369,0.031,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00067,Entity_00067,0.1195,0.461,0.4502,0.299,0.6124,0.3134,Moderate,Low,S4,S4,0.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0
REC_00068,Entity_00068,0.0769,0.6567,0.648,0.5482,0.752,0.2039,Moderate,Low,S4,"S1, S4, S7",0.007007,0.0,0.0,0.280917,0.0,0.0,0.184877,0.0
REC_00069,Entity_00069,0.0141,0.0298,0.0275,0.0153,0.0475,0.0322,Minimal,High,S8,S8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098
REC_00070,Entity_00070,0.0893,0.6243,0.6203,0.4956,0.7379,0.2423,Moderate,Low,S4,"S3, S4, S6, S8",0.0,0.0,0.051227,0.307359,0.0,0.093915,0.0,0.003795
REC_00071,Entity_00071,0.0344,0.4781,0.479,0.4386,0.526,0.0874,Moderate,Moderate,S7,"S1, S2, S3, S7",0.010651,0.027467,0.071166,0.0,0.0,0.0,0.281013,0.0
REC_00072,Entity_00072,0.1163,0.488,0.4768,0.3332,0.6373,0.3041,Moderate,Low,S4,"S2, S4",0.0,0.02695,0.0,0.41895,0.0,0.0,0.0,0.0
REC_00073,Entity_00073,0.0609,0.2238,0.2166,0.1544,0.3134,0.159,Low,Low,S6,"S6, S8",0.0,0.0,0.0,0.0,0.0,0.19404,0.0,0.00784
REC_00074,Entity_00074,0.1182,0.4664,0.456,0.3057,0.6175,0.3117,Moderate,Low,S4,"S4, S8",0.0,0.0,0.0,0.43659,0.0,0.0,0.0,0.00539
REC_00075,Entity_00075,0.014,0.02,0.0172,0.006,0.0369,0.031,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00076,Entity_00076,0.0236,0.0984,0.0982,0.072,0.131,0.0589,Minimal,Moderate,S5,S5,0.0,0.0,0.0,0.0,0.0784,0.0,0.0,0.0
REC_00077,Entity_00077,0.1182,0.4664,0.456,0.3057,0.6175,0.3117,Moderate,Low,S4,"S4, S8",0.0,0.0,0.0,0.43659,0.0,0.0,0.0,0.00539
REC_00078,Entity_00078,0.0418,0.1971,0.1991,0.1483,0.2519,0.1036,Low,Moderate,S3,"S1, S2, S3",0.016386,0.042258,0.109486,0.0,0.0,0.0,0.0,0.0
REC_00079,Entity_00079,0.1058,0.5257,0.5146,0.3788,0.6553,0.2764,Moderate,Low,S4,"S3, S4",0.0,0.0,0.06468,0.38808,0.0,0.0,0.0,0.0
REC_00080,Entity_00080,0.0418,0.1971,0.1991,0.1483,0.2519,0.1036,Low,Moderate,S3,"S1, S2, S3",0.016386,0.042258,0.109486,0.0,0.0,0.0,0.0,0.0
REC_00081,Entity_00081,0.0282,0.3757,0.3756,0.3408,0.4088,0.068,Low,Moderate,S7,"S1, S7",0.01274,0.0,0.0,0.0,0.0,0.0,0.33614,0.0
REC_00082,Entity_00082,0.1023,0.5688,0.5654,0.4298,0.6952,0.2654,Moderate,Low,S4,"S4, S6",0.0,0.0,0.0,0.3528,0.0,0.1078,0.0,0.0
REC_00083,Entity_00083,0.014,0.02,0.0172,0.006,0.0369,0.031,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00084,Entity_00084,0.0348,0.1376,0.1355,0.094,0.1826,0.0887,Minimal,Moderate,S3,S3,0.0,0.0,0.1176,0.0,0.0,0.0,0.0,0.0
REC_00085,Entity_00085,0.014,0.02,0.0172,0.006,0.0369,0.031,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00086,Entity_00086,0.0344,0.1548,0.1525,0.1101,0.2017,0.0915,Low,Moderate,S3,"S1, S3",0.017248,0.0,0.115248,0.0,0.0,0.0,0.0,0.0
REC_00087,Entity_00087,0.1195,0.461,0.4502,0.299,0.6124,0.3134,Moderate,Low,S4,S4,0.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0
REC_00088,Entity_00088,0.0615,0.216,0.2089,0.1474,0.3049,0.1575,Low,Low,S6,S6,0.0,0.0,0.0,0.0,0.0,0.196,0.0,0.0
REC_00089,Entity_00089,0.0148,0.0492,0.0473,0.0333,0.0674,0.0341,Minimal,High,S1,"S1, S8",0.019404,0.0,0.0,0.0,0.0,0.0,0.0,0.009604
REC_00090,Entity_00090,0.0963,0.6026,0.6023,0.4695,0.72,0.2506,Moderate,Low,S4,"S1, S2, S4, S6, S8",0.008111,0.020918,0.0,0.325172,0.0,0.099358,0.0,0.004014
REC_00091,Entity_00091,0.0147,0.0396,0.0376,0.0236,0.0589,0.0353,Minimal,High,S1,S1,0.0196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00092,Entity_00092,0.0615,0.216,0.2089,0.1474,0.3049,0.1575,Low,Low,S6,S6,0.0,0.0,0.0,0.0,0.0,0.196,0.0,0.0
REC_00093,Entity_00093,0.0358,0.2066,0.2061,0.1634,0.2551,0.0917,Low,Moderate,S3,"S3, S5",0.0,0.0,0.108192,0.0,0.068992,0.0,0.0,0.0
REC_00094,Entity_00094,0.1169,0.4718,0.4603,0.3125,0.6186,0.306,Moderate,Low,S4,"S1, S4",0.01078,0.0,0.0,0.43218,0.0,0.0,0.0,0.0
REC_00095,Entity_00095,0.0427,0.5405,0.5381,0.4908,0.6004,0.1097,Moderate,Moderate,S7,"S1, S5, S6, S7",0.009377,0.0,0.0,0.0,0.039953,0.114864,0.247399,0.0
REC_00096,Entity_00096,0.0327,0.407,0.4091,0.3666,0.4519,0.0853,Moderate,Moderate,S7,"S1, S2, S7",0.012103,0.031213,0.0,0.0,0.0,0.0,0.319333,0.0
REC_00097,Entity_00097,0.0689,0.6948,0.6878,0.5975,0.7803,0.1827,Moderate,Low,S4,"S3, S4, S7, S8",0.0,0.0,0.041622,0.249729,0.0,0.0,0.164352,0.003083
REC_00098,Entity_00098,0.014,0.02,0.0172,0.006,0.0369,0.031,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00099,Entity_00099,0.1058,0.5257,0.5146,0.3788,0.6553,0.2764,Moderate,Low,S4,"S3, S4",0.0,0.0,0.06468,0.38808,0.0,0.0,0.0,0.0
REC_00100,Entity_00100,0.028,0.414,0.4172,0.3802,0.4502,0.0699,Moderate,Moderate,S7,"S5, S7",0.0,0.0,0.0,0.0,0.05096,0.0,0.31556,0.0
REC_00101,Entity_00101,0.0658,0.2701,0.2606,0.1838,0.3478,0.164,Low,Low,S6,"S1, S2, S6",0.014896,0.038416,0.0,0.0,0.0,0.182476,0.0,0.0
REC_00102,Entity_00102,0.0147,0.02,0.0163,0.0057,0.0391,0.0334,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00103,Entity_00103,0.108,0.5289,0.5171,0.3854,0.6668,0.2815,Moderate,Low,S4,"S2, S4, S5",0.0,0.024794,0.0,0.385434,0.040964,0.0,0.0,0.0
REC_00104,Entity_00104,0.0351,0.2066,0.2051,0.1644,0.2501,0.0857,Low,Moderate,S3,"S3, S5",0.0,0.0,0.108192,0.0,0.068992,0.0,0.0,0.0
REC_00105,Entity_00105,0.1043,0.5688,0.5652,0.4343,0.701,0.2667,Moderate,Low,S4,"S4, S6",0.0,0.0,0.0,0.3528,0.0,0.1078,0.0,0.0
REC_00106,Entity_00106,0.0332,0.4394,0.4408,0.3973,0.4824,0.0851,Moderate,Moderate,S7,"S3, S7",0.0,0.0,0.07644,0.0,0.0,0.0,0.30184,0.0
REC_00107,Entity_00107,0.0592,0.2787,0.2726,0.2076,0.3592,0.1516,Low,Low,S6,"S5, S6",0.0,0.0,0.0,0.0,0.06272,0.18032,0.0,0.0
REC_00108,Entity_00108,0.0327,0.4433,0.4423,0.4027,0.485,0.0823,Moderate,Moderate,S7,"S2, S5, S7",0.0,0.029302,0.0,0.0,0.048412,0.0,0.299782,0.0
REC_00109,Entity_00109,0.0282,0.363,0.364,0.3303,0.3998,0.0695,Low,Moderate,S7,S7,0.0,0.0,0.0,0.0,0.0,0.0,0.343,0.0
REC_00110,Entity_00110,0.0725,0.6777,0.6695,0.5852,0.7725,0.1873,Moderate,Low,S4,"S4, S5, S7",0.0,0.0,0.0,0.263718,0.028028,0.0,0.173558,0.0
REC_00111,Entity_00111,0.0334,0.069,0.0605,0.0283,0.1086,0.0803,Minimal,Moderate,S2,S2,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.0
REC_00112,Entity_00112,0.023,0.1164,0.1165,0.0896,0.1478,0.0582,Minimal,Moderate,S5,"S1, S5",0.018032,0.0,0.0,0.0,0.076832,0.0,0.0,0.0
REC_00113,Entity_00113,0.0338,0.407,0.4026,0.3664,0.452,0.0856,Moderate,Moderate,S7,"S1, S2, S7",0.012103,0.031213,0.0,0.0,0.0,0.0,0.319333,0.0
REC_00114,Entity_00114,0.0327,0.4507,0.4516,0.409,0.4921,0.0831,Moderate,Moderate,S7,"S1, S3, S7",0.011211,0.0,0.074911,0.0,0.0,0.0,0.295803,0.0
REC_00115,Entity_00115,0.1043,0.5688,0.5652,0.4343,0.701,0.2667,Moderate,Low,S4,"S4, S6",0.0,0.0,0.0,0.3528,0.0,0.1078,0.0,0.0
REC_00116,Entity_00116,0.034,0.1633,0.16,0.1233,0.2073,0.0839,Low,Moderate,S3,"S1, S3, S8",0.017076,0.0,0.114096,0.0,0.0,0.0,0.0,0.008452
REC_00117,Entity_00117,0.1207,0.461,0.4432,0.3012,0.6138,0.3126,Moderate,Low,S4,S4,0.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0
REC_00118,Entity_00118,0.0619,0.2238,0.2146,0.1458,0.3044,0.1586,Low,Low,S6,"S6, S8",0.0,0.0,0.0,0.0,0.0,0.19404,0.0,0.00784
REC_00119,Entity_00119,0.028,0.3694,0.3703,0.3375,0.4064,0.069,Low,Moderate,S7,"S7, S8",0.0,0.0,0.0,0.0,0.0,0.0,0.33957,0.00637
REC_00120,Entity_00120,0.0147,0.02,0.0163,0.0057,0.0391,0.0334,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00121,Entity_00121,0.0327,0.4433,0.4423,0.4027,0.485,0.0823,Moderate,Moderate,S7,"S2, S5, S7",0.0,0.029302,0.0,0.0,0.048412,0.0,0.299782,0.0
REC_00122,Entity_00122,0.0592,0.2787,0.2726,0.2076,0.3592,0.1516,Low,Low,S6,"S5, S6",0.0,0.0,0.0,0.0,0.06272,0.18032,0.0,0.0
REC_00123,Entity_00123,0.0909,0.6281,0.619,0.51,0.7389,0.2289,Moderate,Low,S4,"S1, S3, S4, S6",0.007589,0.0,0.050709,0.304255,0.0,0.092967,0.0,0.0
REC_00124,Entity_00124,0.0624,0.216,0.2069,0.1356,0.2987,0.1631,Low,Low,S6,S6,0.0,0.0,0.0,0.0,0.0,0.196,0.0,0.0
REC_00125,Entity_00125,0.0624,0.216,0.2069,0.1356,0.2987,0.1631,Low,Low,S6,S6,0.0,0.0,0.0,0.0,0.0,0.196,0.0,0.0
REC_00126,Entity_00126,0.0334,0.069,0.0605,0.0283,0.1086,0.0803,Minimal,Moderate,S2,S2,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.0
REC_00127,Entity_00127,0.1195,0.4664,0.4495,0.3077,0.6176,0.3099,Moderate,Low,S4,"S4, S8",0.0,0.0,0.0,0.43659,0.0,0.0,0.0,0.00539
REC_00128,Entity_00128,0.0344,0.1606,0.1561,0.1198,0.2049,0.0851,Low,Moderate,S5,"S1, S2, S5",0.01713,0.044178,0.0,0.0,0.07299,0.0,0.0,0.0
REC_00129,Entity_00129,0.0332,0.0876,0.08,0.0469,0.1292,0.0823,Minimal,Moderate,S2,"S1, S2",0.01862,0.04802,0.0,0.0,0.0,0.0,0.0,0.0
REC_00130,Entity_00130,0.0151,0.0298,0.026,0.0151,0.0488,0.0338,Minimal,High,S8,S8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098
REC_00131,Entity_00131,0.0341,0.3949,0.3903,0.3526,0.4382,0.0856,Low,Moderate,S7,"S2, S7",0.0,0.03185,0.0,0.0,0.0,0.0,0.32585,0.0
REC_00132,Entity_00132,0.0334,0.069,0.0605,0.0283,0.1086,0.0803,Minimal,Moderate,S2,S2,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.0
REC_00133,Entity_00133,0.1108,0.5091,0.4956,0.3626,0.6475,0.2849,Moderate,Low,S4,"S4, S5, S8",0.0,0.0,0.0,0.401663,0.042689,0.0,0.0,0.004959
REC_00134,Entity_00134,0.0624,0.216,0.2069,0.1356,0.2987,0.1631,Low,Low,S6,S6,0.0,0.0,0.0,0.0,0.0,0.196,0.0,0.0
REC_00135,Entity_00135,0.108,0.5289,0.5171,0.3854,0.6668,0.2815,Moderate,Low,S4,"S2, S4, S5",0.0,0.024794,0.0,0.385434,0.040964,0.0,0.0,0.0
REC_00136,Entity_00136,0.058,0.3002,0.2947,0.2288,0.3753,0.1465,Low,Moderate,S6,"S1, S5, S6, S8",0.014281,0.0,0.0,0.0,0.060851,0.174946,0.0,0.007069
REC_00137,Entity_00137,0.0662,0.2626,0.2536,0.1777,0.3423,0.1646,Low,Low,S6,"S2, S6, S8",0.0,0.038808,0.0,0.0,0.0,0.184338,0.0,0.007448
REC_00138,Entity_00138,0.0332,0.0876,0.08,0.0469,0.1292,0.0823,Minimal,Moderate,S2,"S1, S2",0.01862,0.04802,0.0,0.0,0.0,0.0,0.0,0.0
REC_00139,Entity_00139,0.028,0.3694,0.3703,0.3375,0.4064,0.069,Low,Moderate,S7,"S7, S8",0.0,0.0,0.0,0.0,0.0,0.0,0.33957,0.00637
REC_00140,Entity_00140,0.0461,0.574,0.5739,0.5124,0.6281,0.1157,Moderate,Moderate,S7,"S2, S3, S6, S7",0.0,0.022422,0.058094,0.0,0.0,0.106506,0.229398,0.0
REC_00141,Entity_00141,0.0229,0.0984,0.0972,0.0711,0.1313,0.0602,Minimal,Moderate,S5,S5,0.0,0.0,0.0,0.0,0.0784,0.0,0.0,0.0
REC_00142,Entity_00142,0.1185,0.4718,0.4532,0.3146,0.6239,0.3093,Moderate,Low,S4,"S1, S4",0.01078,0.0,0.0,0.43218,0.0,0.0,0.0,0.0
REC_00143,Entity_00143,0.0147,0.02,0.0163,0.0057,0.0391,0.0334,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00144,Entity_00144,0.0926,0.6205,0.6116,0.4997,0.7339,0.2343,Moderate,Low,S4,"S3, S4, S6",0.0,0.0,0.051744,0.310464,0.0,0.094864,0.0,0.0
REC_00145,Entity_00145,0.1185,0.4718,0.4532,0.3146,0.6239,0.3093,Moderate,Low,S4,"S1, S4",0.01078,0.0,0.0,0.43218,0.0,0.0,0.0,0.0
